context_id,scenario,policy_seed,slot,environment_seed,environment_step,unit_index,unit_type,unit_cost,legal_targets,target_probabilities,repeat_count,actual_extra_transitions,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,future_cost_composition_advantage_mean,future_cost_composition_advantage_standard_error,future_cost_composition_advantage_lower,future_cost_composition_advantage_upper,immediate_cost_difference_mean,immediate_cost_difference_standard_error,immediate_cost_difference_lower,immediate_cost_difference_upper,total_cost_difference_mean,total_cost_difference_standard_error,total_cost_difference_lower,total_cost_difference_upper,reuse_probe_mean,reuse_probe_standard_error,reuse_probe_lower,reuse_probe_upper,reuse_total_mean,reuse_total_standard_error,reuse_total_lower,reuse_total_upper,option_edge_mean,option_edge_standard_error,option_edge_lower,option_edge_upper,option_threat_mean,option_threat_standard_error,option_threat_lower,option_threat_upper,ammo_gain_damage_mean,ammo_gain_damage_standard_error,ammo_gain_damage_lower,ammo_gain_damage_upper,ammo_gain_leaks_mean,ammo_gain_leaks_standard_error,ammo_gain_leaks_lower,ammo_gain_leaks_upper,maximum_decomposition_residual,reliable_opportunity
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,886997740,29,2,laser,0.5,4,1,32,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,safety,886997735,23,2,laser,0.5,3,1,32,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,886997735,21,2,laser,0.5,"3,4","0.49971011281,0.500289916992",32,456,0.07807967439293861,0.0395652435820836,0.0005317969720547711,0.15562755181382246,0.03903983719646931,0.0197826217910418,0.00026589848602738553,0.07781377590691123,0.03903983719646931,0.0197826217910418,0.00026589848602738553,0.07781377590691123,0.5000000149011612,0.0,0.5000000149011612,0.5000000149011612,0.4609601777046919,0.0197826217910418,0.42218623899424995,0.4997341164151338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,886997740,28,2,laser,0.5,4,1,32,176,0.125,0.059398870413936426,0.008578213988684608,0.2414217860113154,0.0625,0.029699435206968213,0.004289106994342304,0.1207108930056577,0.0625,0.029699435206968213,0.004289106994342304,0.1207108930056577,0.5,0.0,0.5,0.5,0.4375,0.029699435206968213,0.3792891069943423,0.4957108930056577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,886997735,20,2,laser,0.5,"3,4","0.49970933795,0.500290632248",32,594,0.04684779979288578,0.03446474849981243,-0.02070310726674658,0.11439870685251814,0.02342389989644289,0.017232374249906215,-0.01035155363337329,0.05719935342625907,0.02342389989644289,0.017232374249906215,-0.01035155363337329,0.05719935342625907,0.4999999850988388,0.0,0.4999999850988388,0.4999999850988388,0.4765760852023959,0.017232374249906215,0.4428006316725797,0.5103515387322121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,886997735,22,2,laser,0.5,3,1,32,178,0.09375,0.0523514603733822,-0.008858862331829115,0.19635886233182911,0.046875,0.0261757301866911,-0.004429431165914557,0.09817943116591456,0.046875,0.0261757301866911,-0.004429431165914557,0.09817943116591456,0.5,0.0,0.5,0.5,0.453125,0.0261757301866911,0.40182056883408546,0.5044294311659145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,886997742,4,0,missile,2.0,"0,1,2,4","0.242623955011,0.243662342429,0.257118195295,0.256595522165",32,7421,0.943029040005058,0.04632863775578572,0.852224910003718,1.033833170006398,1.9715145088266581,0.02316431882933959,1.9261124439211526,2.0169165737321637,1.9715145088266581,0.02316431882933959,1.9261124439211526,2.0169165737321637,1.9242354726884514,0.01776913009479694,1.8894079777026493,1.9590629676742535,-0.04727903613820672,0.016772681504889118,-0.08015349188778939,-0.01440458038862405,1.0000000149011612,0.0,1.0000000149011612,1.0000000149011612,0.9848360177129507,0.015163997188210486,0.9551145832240582,1.0145574522018432,6.098331403452903,0.6033059476542182,4.9158517460506355,7.280811060855171,0.2822081916965544,0.3530299024897491,-0.4097304171833538,0.9741468005764626,0.053198415417970865,0.029765570796378298,-0.005142103342930596,0.11153893417887233,0.05399599624797702,0.03479539538941308,-0.01420297871527261,0.12219497121122665,0.0,False
time_pressure_seed8_resource01_e06_t04_u1,time_pressure,8,resource,886997740,4,1,missile,2.0,3,1,32,2710,0.90625,0.09374999999999999,0.7225,1.0899999999999999,1.953125,0.04687499999999999,1.86125,2.045,1.953125,0.04687499999999999,1.86125,2.045,2.0,0.0,2.0,2.0,0.046875,0.04687499999999999,-0.044999999999999984,0.13874999999999998,1.0,0.0,1.0,1.0,0.90625,0.0689695906576505,0.7710696023110051,1.041430397688995,4.3125,1.151294415275763,2.0559629460595046,6.569037053940495,0.96875,0.7260759188400031,-0.4543588009264061,2.391858800926406,0.04647512356456496,0.0324372220272548,-0.01710183160885445,0.11005207873798437,0.03125,0.03125,-0.03,0.0925,0.0,False
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,886997740,4,0,missile,2.0,"0,3","0.505599141121,0.494400858879",32,4499,1.1229003220796585,0.14666741319350082,0.8354321922203969,1.4103684519389201,2.0614501610398293,0.07333370659675041,1.9177160961101984,2.20518422596946,2.0614501610398293,0.07333370659675041,1.9177160961101984,2.20518422596946,2.0,0.0,2.0,2.0,-0.061450161039829254,0.07333370659675041,-0.20518422596946007,0.08228390388980156,1.0,0.0,1.0,1.0,0.8753499463200569,0.07085727355246753,0.7364696901572205,1.0142302024828933,1.6868001073598862,0.7189630625272704,0.2776325048064363,3.095967709913336,0.8763997852802277,0.394265695038253,0.10363902300525185,1.6491605475552036,0.02969147124526038,0.023108945832437226,-0.015602062586316585,0.07498500507683734,0.0,0.0,0.0,0.0,0.0,False
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,886997743,4,1,missile,2.0,"0,1","0.502585709095,0.497414290905",32,4045,1.0161906238645315,0.08267514133718148,0.8541473468436558,1.1782339008854072,2.0080953119322658,0.04133757066859074,1.927073673421828,2.0891169504427034,2.0080953119322658,0.04133757066859074,1.927073673421828,2.0891169504427034,2.0,0.0,2.0,2.0,-0.008095311932265759,0.04133757066859074,-0.08911695044270361,0.0729263265781721,1.0,0.0,1.0,1.0,0.9375,0.04347552147751577,0.8522879779040691,1.022712022095931,5.108647769317031,0.9643414042491067,3.2185386169887815,6.99875692164528,1.8133080340921879,0.4168508731665784,0.9962803226856943,2.6303357454986815,0.13109411523423126,0.04982613242435092,0.03343489568250346,0.22875333478595905,0.09375,0.0523514603733822,-0.008858862331829115,0.19635886233182911,0.0,False
