context_id,scenario,policy_seed,slot,environment_seed,environment_step,unit_index,observation_hash,legal_targets,target_probabilities,minimum_horizon,maximum_horizon,mean_horizon,extra_transitions,projected_window_transitions,projected_saved_transitions,repeat_count,short_zone_damage_mean,short_zone_damage_standard_error,short_zone_damage_lower,short_zone_damage_upper,short_high_threat_leaks_mean,short_high_threat_leaks_standard_error,short_high_threat_leaks_lower,short_high_threat_leaks_upper,short_resource_cost_mean,short_resource_cost_standard_error,short_resource_cost_lower,short_resource_cost_upper,short_label,full_zone_damage_mean,full_zone_damage_standard_error,full_zone_damage_lower,full_zone_damage_upper,full_high_threat_leaks_mean,full_high_threat_leaks_standard_error,full_high_threat_leaks_lower,full_high_threat_leaks_upper,full_resource_cost_mean,full_resource_cost_standard_error,full_resource_cost_lower,full_resource_cost_upper,full_label,label_changed
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,886997740,29,2,446b3bb796a8dc44e259e6d767c219d3688573c91be48d255fdc0f9945fc9c9a,4,1,2,2,2.0,64,64,0,32,-0.15050705921507956,0.05627131599520817,-0.2607988385656876,-0.040215279864471556,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,AMBIGUOUS,-0.15050705921507956,0.05627131599520817,-0.2607988385656876,-0.040215279864471556,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,AMBIGUOUS,False
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,safety,886997735,23,2,3ce48ea586327bc403459f1a1cb74e617a50ff5c0a0c231b9df7102779e0ec6b,3,1,2,2,2.0,64,64,0,32,-0.15945637378287492,0.04960456710891609,-0.25668132531635046,-0.062231422249399385,-0.25,0.07777137710478188,-0.40243189912537247,-0.09756810087462753,0.5,0.0,0.5,0.5,ENGAGE,-0.15945637378287492,0.04960456710891609,-0.25668132531635046,-0.062231422249399385,-0.25,0.07777137710478188,-0.40243189912537247,-0.09756810087462753,0.5,0.0,0.5,0.5,ENGAGE,False
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,886997735,21,2,465b1b5bc714d8dc3f97855195dffb7499a28ce79c9f80982bdbf5eb06e21557,"3,4","0.49971011281,0.500289916992",2,4,3.0,275,245,30,32,-0.14350590942542477,0.03689642086626814,-0.2158228943233103,-0.07118892452753921,-0.015615941025316715,0.015615941025316714,-0.046223185434937475,0.014991303384304044,0.4609601623378694,0.019782622140837633,0.4221862229418276,0.4997341017339112,ENGAGE,-0.14350590942542474,0.03689642086626813,-0.21582289432331028,-0.0711889245275392,-0.015615941025316715,0.015615941025316714,-0.046223185434937475,0.014991303384304044,0.4609601623378694,0.019782622140837633,0.4221862229418276,0.4997341017339112,ENGAGE,False
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,886997740,28,2,a0121563ae86c7b2a04652d59580b8e00feccbe4e77b449b483c8a11480075b3,4,1,3,3,3.0,120,120,0,32,-0.20067607895343942,0.062427420048787687,-0.3230338222490633,-0.07831833565781555,0.0,0.0,0.0,0.0,0.4375,0.029699435206968213,0.3792891069943423,0.4957108930056577,ENGAGE,-0.20067607895343942,0.062427420048787687,-0.3230338222490633,-0.07831833565781555,0.0,0.0,0.0,0.0,0.4375,0.029699435206968213,0.3792891069943423,0.4957108930056577,ENGAGE,False
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,886997735,20,2,51a9ec05cc7ca32d70507ccad7efd0649462d1b2bf99ebbbb356f5f6ca4ceb7d,"3,4","0.49970933795,0.500290632248",3,5,4.0,358,331,27,32,-0.13696517769611344,0.035655365002355714,-0.20684969310073065,-0.06708066229149624,-0.0624636672437191,0.02968217020951133,-0.12064072085436131,-0.004286613633076898,0.47657610988244414,0.017232374243099997,0.44280065636596816,0.5103515633989202,ENGAGE,-0.13696517769611344,0.035655365002355714,-0.20684969310073065,-0.06708066229149624,-0.0624636672437191,0.02968217020951133,-0.12064072085436131,-0.004286613633076898,0.47657610988244414,0.017232374243099997,0.44280065636596816,0.5103515633989202,ENGAGE,False
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,886997735,22,2,db252c44e0e480e9308525f615c910b04b1c554e8c4b35128bb6a8b3fc654b2e,3,1,3,3,3.0,121,121,0,32,-0.13952432706001555,0.047357642415025984,-0.2323453061934665,-0.04670334792656462,-0.21875,0.07424858801742054,-0.36427723251414423,-0.07322276748585574,0.453125,0.0261757301866911,0.40182056883408546,0.5044294311659145,AMBIGUOUS,-0.13952432706001555,0.047357642415025984,-0.2323453061934665,-0.04670334792656462,-0.21875,0.07424858801742054,-0.36427723251414423,-0.07322276748585574,0.453125,0.0261757301866911,0.40182056883408546,0.5044294311659145,AMBIGUOUS,False
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,886997742,4,0,34bf44f63ee7af1d97110cc10e8e295469bcc808a897ae5db833430af8004ff1,"0,1,2,4","0.242623955011,0.243662342429,0.257118195295,0.256595522165",21,30,26.75,4143,3962,181,32,-0.09781403312125236,0.07602885817101701,-0.2468305951364457,0.051202528893940974,-0.017347272019833326,0.08158764717629953,-0.1772590604853804,0.14256451644571375,-0.047279162565246224,0.01773821576320242,-0.08204606546112297,-0.012512259669369481,AMBIGUOUS,-0.11341707409126567,0.07814080553647858,-0.2665730529427637,0.03973890476023234,-0.009312328416854143,0.08122075602991168,-0.16850501023548103,0.14988035340177275,-0.047279162565246224,0.016772681468609673,-0.08015361824372119,-0.014404706886771264,AMBIGUOUS,False
time_pressure_seed8_resource01_e06_t04_u1,time_pressure,8,resource,886997740,4,1,ba563a2c980d0aa7737620130d6c197ebe6a7b3fc6d671b55be7221319435fcf,3,1,30,30,30.0,1807,1807,0,32,0.039847584951048134,0.028693015140569027,-0.016390724724467155,0.09608589462656342,0.0,0.0,0.0,0.0,0.046875,0.04687499999999999,-0.044999999999999984,0.13874999999999998,AMBIGUOUS,0.039847584951048134,0.028693015140569027,-0.016390724724467155,0.09608589462656342,0.0,0.0,0.0,0.0,0.046875,0.04687499999999999,-0.044999999999999984,0.13874999999999998,AMBIGUOUS,False
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,886997740,4,0,ba563a2c980d0aa7737620130d6c197ebe6a7b3fc6d671b55be7221319435fcf,"0,3","0.505599141121,0.494400858879",30,31,30.5,2705,2705,0,32,-0.044708650925825134,0.03249482299659461,-0.10839850399915057,0.0189812021475003,-0.015450026839971542,0.01545002683997154,-0.04573207944631576,0.014832025766372676,-0.061450161039829254,0.07333370659675041,-0.20518422596946007,0.08228390388980156,AMBIGUOUS,-0.044708650925825134,0.03249482299659461,-0.10839850399915057,0.0189812021475003,-0.015450026839971542,0.01545002683997154,-0.04573207944631576,0.014832025766372676,-0.061450161039829254,0.07333370659675041,-0.20518422596946007,0.08228390388980156,AMBIGUOUS,False
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,886997743,4,1,2c31752ab74d6207d9087d25d1118ec03be717581cbbb464c4103bf106153036,"0,1","0.502585709095,0.497414290905",20,27,23.5,2437,2268,169,32,-0.010054783459760361,0.05469592432392957,-0.11725879513466232,0.09714922821514159,0.0,0.03158583905832227,-0.061908244554311646,0.061908244554311646,-0.03165401704609394,0.04470104839652756,-0.11926807190328796,0.05596003781110008,AMBIGUOUS,-0.047046355055869606,0.07390632234403088,-0.19190274685017014,0.09781003673843094,-0.015705803409218788,0.0571917194037401,-0.12780157344054938,0.0963899666221118,-0.008095311932265759,0.04133757066859074,-0.08911695044270361,0.0729263265781721,AMBIGUOUS,False
